 ,Orden del país,Trimestre,Año(aaaa)-Trimestre(t),Año(aaaa),Clasificación inversión directa,Descripción tipo inversión directa,Valor anual,Estado de la información,Periodicidad de la información
Jordania,50,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Kuwait,51,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liberia,53,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liechtenstein,54,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Lituania,55,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Luxemburgo,56,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-50,3086536672467",Provisional,Trimestral
Líbano,52,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Malasia,57,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,130715900986974",Provisional,Trimestral
México,58,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-46,4918607284686",Provisional,Trimestral
Nicaragua,59,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Noruega,60,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,82591683773421",Provisional,Trimestral
Nueva Zelanda,61,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,36425067",Provisional,Trimestral
Otros Países,81,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Panamá,63,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"558,615061021944",Provisional,Trimestral
Paraguay,64,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Países Bajos,62,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"117,362615440496",Provisional,Trimestral
Perú,65,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"96,7491968731708",Provisional,Trimestral
Portugal,66,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"8,3331797852924",Provisional,Trimestral
Puerto Rico,67,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,76300723",Provisional,Trimestral
República Dominicana,69,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,77823752035727",Provisional,Trimestral
Singapur,70,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"18,2420314241494",Provisional,Trimestral
Sri Lanka,71,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Sudáfrica,74,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-10,73286474",Provisional,Trimestral
Suecia,72,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"19,3226415015134",Provisional,Trimestral
Suiza,73,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"361,136985687731",Provisional,Trimestral
Tailandia,75,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Taiwán,76,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,38148",Provisional,Trimestral
Total paises,82,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"5119,62164406804",Provisional,Trimestral
Ucrania,77,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,013591",Provisional,Trimestral
Uruguay,78,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-44,6359186394785",Provisional,Trimestral
Venezuela,79,2,2022-2,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,10909200118756",Provisional,Trimestral
Afganistán,1,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Albania,2,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Alemania,3,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"35,211753458631",Provisional,Trimestral
Anguilla,4,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"126,347451261991",Provisional,Trimestral
Antillas Holandesas,5,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,163377995840527",Provisional,Trimestral
Argentina,6,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,28993025360287",Provisional,Trimestral
Aruba,7,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,284671925293519",Provisional,Trimestral
Australia,8,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,832382149576712",Provisional,Trimestral
Austria,9,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"7,73025435074442",Provisional,Trimestral
Bahamas,10,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"4,09636876599877",Provisional,Trimestral
Barbados,11,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"44,4571119491303",Provisional,Trimestral
Belice,13,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-6,79515058",Provisional,Trimestral
Bermudas,14,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"9,4237311251119",Provisional,Trimestral
Bolivia,15,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,347385",Provisional,Trimestral
Brasil,16,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"117,31973411816",Provisional,Trimestral
Bélgica,12,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,42747082819199",Provisional,Trimestral
Canadá,17,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"49,2054438314947",Provisional,Trimestral
Chile,18,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"487,26050012208",Provisional,Trimestral
China,19,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"211,095568928755",Provisional,Trimestral
Chipre,21,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,161",Provisional,Trimestral
Corea del Sur,20,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,158878832503919",Provisional,Trimestral
Costa Rica,22,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"9,80460702860987",Provisional,Trimestral
Cuba,23,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Curazao,24,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,05568321132658",Provisional,Trimestral
Dinamarca,25,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"10,2550686976963",Provisional,Trimestral
Ecuador,26,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"11,5510969086684",Provisional,Trimestral
El Salvador,27,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,609955",Provisional,Trimestral
Escocia,28,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,404429000853",Provisional,Trimestral
España,29,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"747,795210303781",Provisional,Trimestral
Estados Unidos,30,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1150,4509763678",Provisional,Trimestral
Finlandia,31,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Francia,32,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"39,6480462652146",Provisional,Trimestral
Gibraltar,33,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Grecia,34,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,1105",Provisional,Trimestral
Guatemala,35,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,090507",Provisional,Trimestral
Honduras,36,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,16279647",Provisional,Trimestral
Hong Kong,37,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Hungría,38,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
India,41,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"4,0504850530668",Provisional,Trimestral
Inglaterra,42,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"137,801538526575",Provisional,Trimestral
Irlanda⁴,45,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-3,05407276298196",Provisional,Trimestral
Irán,44,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Isla de Man,46,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"6,92372051848803",Provisional,Trimestral
Islas Caimán,39,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"80,6908974323367",Provisional,Trimestral
Islas Vírgenes Británicas,40,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"94,5917389743334",Provisional,Trimestral
Israel,47,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,208972438735234",Provisional,Trimestral
Italia,48,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"25,0073423507724",Provisional,Trimestral
Japón,49,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"11,2838350517128",Provisional,Trimestral
Jordania,50,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Kuwait,51,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liberia,53,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Liechtenstein,54,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Lituania,55,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Luxemburgo,56,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-10,5325363130268",Provisional,Trimestral
Líbano,52,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Malasia,57,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,029126223069081",Provisional,Trimestral
México,58,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"274,025418810845",Provisional,Trimestral
Nicaragua,59,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Noruega,60,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,05261693884892",Provisional,Trimestral
Nueva Zelanda,61,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,0987121",Provisional,Trimestral
Otros Países,81,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Panamá,63,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"920,062157026881",Provisional,Trimestral
Paraguay,64,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Países Bajos,62,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"84,6606086296732",Provisional,Trimestral
Perú,65,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"2,09771923597365",Provisional,Trimestral
Portugal,66,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,466879083799959",Provisional,Trimestral
Puerto Rico,67,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,295124",Provisional,Trimestral
República Dominicana,69,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,30018208126369",Provisional,Trimestral
Singapur,70,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"12,5430194646473",Provisional,Trimestral
Sri Lanka,71,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Sudáfrica,74,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,16,Provisional,Trimestral
Suecia,72,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"15,0326168278205",Provisional,Trimestral
Suiza,73,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"259,25103435022",Provisional,Trimestral
Tailandia,75,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Taiwán,76,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,02",Provisional,Trimestral
Total paises,82,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"5052,52506786559",Provisional,Trimestral
Ucrania,77,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Uruguay,78,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"58,7455916156578",Provisional,Trimestral
Venezuela,79,1,2022-1,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,04145564347542",Provisional,Trimestral
Afganistán,1,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Afganistán,1,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Albania,2,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Albania,2,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Trimestral
Alemania,3,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"168,292020316866",Provisional,Anual
Alemania,3,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"38,8339982772633",Provisional,Trimestral
Anguilla,4,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"312,877274145128",Provisional,Anual
Anguilla,4,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"167,96765792524",Provisional,Trimestral
Antillas Holandesas,5,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"0,727047743266415",Provisional,Anual
Antillas Holandesas,5,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"0,200175583022584",Provisional,Trimestral
Argentina,6,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"0,216919831294835",Provisional,Anual
Argentina,6,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"0,396888391514055",Provisional,Trimestral
Aruba,7,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"1,12905032293619",Provisional,Anual
Aruba,7,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"0,30135759933755",Provisional,Trimestral
Australia,8,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"17,9600416070068",Provisional,Anual
Australia,8,4,2021-4,2021,Países,Inversión Extranjera Directa en Colombia,"3,61122985502758",Provisional,Trimestral
